Drug2,Amikacin,Amoxicillin,Amphotericin B,Ampicillin,Azithromycin,Cefazolin,Cefdinir,Cefepime,Cefixime,Cefoperazone,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Cephalexin,Cilastatin,Ciprofloxacin,Clarithromycin,Clavulanate,Clindamycin,Cloxacillin,Colistin,Daptomycin,Dexamethasone,Doripenem,Doxycycline,Ertapenem,Fluconazole,Gatifloxacin,Gentamicin,Imipenem,Levofloxacin,Linezolid,Meropenem,Metronidazole,Minocycline,Moxifloxacin,Nitrofurantoin,Ofloxacin,Oseltamivir,Penicillin G,Piperacillin,Rifampicin,Sulbactam,Sulfamethoxazole,Tazobactam,Teicoplanin,Ticarcillin,Tigecycline,Tobramycin,Trimethoprim,Vancomycin
Amikacin,1,0.12013,0.355721,0.122112,0.322314,0.083455,0.11465,0.103152,0.107784,0.089588,0.107784,0.111111,0.096257,0.097561,0.109422,0.122112,0.107383,0.02526,0.322314,0.194969,0.333333,0.109445,0.074144,0.093643,0.218698,0.193277,0.137371,0.196319,0,0.024182,0.607516,0.166667,0.105919,0.075949,0.225919,0.034483,0.148748,0.06383,0,0.105919,0.19403,0.122278,0.100543,0.124197,0.043165,0,0.038961,0.033973,0.105769,0.10828,0.759259,0,0.252059
Amoxicillin,0.12013,1,0.086705,0.95572,0.074271,0.408115,0.523546,0.44186,0.471322,0.509054,0.475,0.5,0.485588,0.404255,0.60221,0.853147,0.256158,0.2,0.077128,0.333333,0.155462,0.586022,0.062437,0.122291,0.223629,0.255605,0.280992,0.5,0.220096,0.126482,0.099291,0.311475,0.129032,0.212815,0.462766,0.026316,0.267606,0.22449,0.260504,0.129032,0.17506,0.843972,0.641791,0.147959,0.477663,0.153846,0.432749,0.220703,0.6875,0.252174,0.046312,0.108597,0.175966
Amphotericin B,0.342365,0.086705,1,0.087719,0.212425,0.039916,0.041667,0.038697,0.039916,0.034173,0.113611,0.040773,0.036822,0.037182,0.103604,0.042601,0.159236,0.059752,0.165703,0.138889,0.19197,0.081967,0.081897,0.134273,0.212871,0.141498,0.194379,0.128149,0,0.061269,0.143498,0.128205,0.153846,0.028761,0.140456,0.012821,0.199069,0.051525,0,0.153846,0.199461,0.088757,0.076142,0.285856,0.097884,0,0.068427,0.130137,0.096849,0.18019,0.268844,0,0.153094
Ampicillin,0.122112,0.95572,0.087719,1,0.075269,0.418093,0.538462,0.452381,0.483376,0.485944,0.487179,0.513514,0.5,0.413043,0.583333,0.890909,0.262626,0.207289,0.078167,0.344262,0.158798,0.690962,0.062753,0.135647,0.228448,0.261468,0.317495,0.515892,0.131222,0.191489,0.101083,0.320225,0.195652,0.27451,0.47541,0.027027,0.24498,0.247357,0.232493,0.195652,0.179361,0.954023,0.662404,0.143959,0.494662,0.154856,0.445783,0.177588,0.709677,0.276978,0.04712,0.182266,0.148649
Azithromycin,0.302578,0.074271,0.21608,0.075269,1,0.089987,0.093333,0.100124,0.088608,0.086262,0.103979,0.106719,0.081703,0.095406,0.105332,0.098901,0.052632,0.142454,0.884817,0.142384,0.200586,0.069652,0,0.021985,0.257396,0.126187,0.212534,0.123596,0,0.157025,0.332335,0.090116,0.07513,0.142857,0.181556,0,0.251739,0.193416,0.037464,0.07513,0.155015,0.076294,0.066514,0.084337,0.095462,0,0.088825,0.116006,0.074271,0.144509,0.337386,0.111111,0.248097
Cefazolin,0.083455,0.408115,0.039916,0.418093,0.077694,1,0.550388,0.498881,0.498829,0.420959,0.534772,0.561713,0.425743,0.49789,0.418919,0.472081,0.214751,0.134615,0.036145,0.287671,0.134216,0.39738,0.056751,0.089325,0.120996,0.217565,0.137521,0.292776,0.111111,0.111111,0.068581,0.292683,0.146617,0.090226,0.342282,0.167109,0.154499,0.192661,0.101322,0.146617,0.227273,0.403941,0.357553,0.072235,0.344538,0.041667,0.398964,0.133391,0.381733,0.164902,0.042654,0.08,0.113725
Cefdinir,0.11465,0.523546,0.041667,0.538462,0.091877,0.550388,1,0.735537,0.869159,0.410019,0.801802,0.853035,0.646489,0.662531,0.581769,0.607143,0.181818,0.165254,0.037975,0.365079,0.161826,0.431981,0.061061,0.106061,0.18,0.236443,0.171004,0.319588,0.087866,0.155378,0.073254,0.289474,0.158537,0.156317,0.432225,0.098901,0.226054,0.207921,0.204188,0.158537,0.246883,0.518625,0.392931,0.085919,0.383648,0.069767,0.322751,0.158088,0.571429,0.206612,0.045531,0.121076,0.116505
Cefepime,0.103152,0.44186,0.038697,0.452381,0.08802,0.472527,0.735537,1,0.704835,0.474245,0.717949,0.756757,0.77305,0.608696,0.534884,0.506173,0.156863,0.210938,0.047059,0.265823,0.141304,0.372951,0.058994,0.100719,0.141869,0.205273,0.151316,0.279279,0.076642,0.186131,0.127214,0.244444,0.24031,0.161905,0.366594,0.082949,0.199324,0.229656,0.172566,0.24031,0.210191,0.435407,0.462451,0.139535,0.317829,0.06,0.350711,0.140652,0.479714,0.185185,0.040724,0.126482,0.103501
Cefixime,0.107784,0.471322,0.039916,0.446384,0.087231,0.498829,0.869159,0.704835,1,0.381693,0.763085,0.80758,0.743341,0.639723,0.563275,0.542553,0.241685,0.152344,0.036145,0.287671,0.149425,0.394336,0.059863,0.125281,0.166667,0.217565,0.15917,0.368209,0.081081,0.143911,0.068581,0.261905,0.146617,0.143984,0.392111,0.089109,0.209964,0.192661,0.184834,0.146617,0.22449,0.428571,0.362764,0.082005,0.340782,0.06383,0.291866,0.122625,0.594595,0.193798,0.042654,0.111111,0.12253
Cefoperazone,0.089588,0.509054,0.034173,0.485944,0.075949,0.420959,0.410019,0.498195,0.405975,1,0.410935,0.42596,0.423948,0.414634,0.420863,0.532091,0.20603,0.181102,0.040816,0.2,0.167435,0.360544,0.07507,0.13002,0.130186,0.164902,0.208151,0.339713,0.128527,0.252006,0.093544,0.210526,0.254072,0.256367,0.219904,0.069519,0.229868,0.25,0.170213,0.254072,0.186441,0.465863,0.750503,0.168421,0.237911,0.134021,0.282051,0.218698,0.373626,0.228534,0.034048,0.086957,0.210728
Cefotaxime,0.107784,0.475,0.113611,0.487179,0.091371,0.505882,0.801802,0.717949,0.763085,0.410935,1,0.91358,0.632653,0.651163,0.702703,0.546667,0.166667,0.152344,0.04878,0.287671,0.149425,0.39738,0.059863,0.116071,0.149635,0.217565,0.15917,0.295238,0.081081,0.148148,0.068581,0.261905,0.146617,0.143984,0.392111,0.089109,0.209964,0.197053,0.184834,0.146617,0.288783,0.469072,0.365385,0.193467,0.344538,0.06383,0.298077,0.144366,0.51671,0.193798,0.042654,0.134454,0.105919
Cefpodoxime,0.111111,0.5,0.040773,0.513514,0.092328,0.530864,0.853035,0.756757,0.80758,0.42596,0.91358,1,0.662708,0.682927,0.675824,0.577465,0.173913,0.158537,0.121495,0.304348,0.155378,0.415525,0.060456,0.104478,0.155303,0.226611,0.164875,0.306931,0.084337,0.153846,0.07084,0.275,0.152344,0.149897,0.411192,0.09375,0.217712,0.204589,0.19403,0.152344,0.25908,0.494565,0.38,0.132765,0.364985,0.066667,0.313131,0.146953,0.544715,0.2,0.044046,0.256039,0.107595
Ceftazidime,0.096257,0.485588,0.036822,0.466667,0.070615,0.425743,0.646489,0.740139,0.743341,0.401274,0.632653,0.662708,1,0.545988,0.507431,0.552941,0.226054,0.131757,0.032967,0.235955,0.129568,0.466395,0.057602,0.16262,0.130573,0.187608,0.221498,0.366906,0.09029,0.125402,0.06082,0.22,0.127451,0.141869,0.330724,0.07438,0.183801,0.168,0.155378,0.127451,0.190019,0.450893,0.362069,0.075157,0.281465,0.113244,0.29979,0.12104,0.495536,0.188811,0.037868,0.095406,0.153846
Ceftriaxone,0.097561,0.404255,0.037182,0.413043,0.083916,0.49789,0.662531,0.608696,0.639723,0.438017,0.651163,0.682927,0.545988,1,0.489362,0.460674,0.22093,0.182796,0.044944,0.241379,0.131757,0.370656,0.057875,0.100982,0.132686,0.190893,0.174603,0.260504,0.060606,0.210526,0.061693,0.25,0.114754,0.179673,0.337325,0.101512,0.205788,0.226576,0.158537,0.114754,0.193738,0.39738,0.322034,0.108696,0.288056,0.055556,0.255144,0.119281,0.437908,0.191489,0.038407,0.125461,0.121988
Cefuroxime,0.109422,0.60221,0.103604,0.583333,0.092545,0.418919,0.581769,0.534884,0.563275,0.39576,0.702703,0.675824,0.507431,0.489362,1,0.652174,0.190476,0.16,0.049383,0.295775,0.189516,0.438356,0.060158,0.12368,0.152416,0.221996,0.22449,0.353535,0.124744,0.191406,0.069692,0.268293,0.190476,0.153846,0.398104,0.02381,0.240741,0.242718,0.303191,0.190476,0.295844,0.564246,0.428571,0.209781,0.354467,0.084071,0.338384,0.146667,0.494845,0.217949,0.043339,0.134904,0.134352
Cephalexin,0.122112,0.853147,0.042601,0.890909,0.084011,0.472081,0.607143,0.506173,0.542553,0.532091,0.546667,0.577465,0.552941,0.460674,0.652174,1,0.173709,0.207289,0.038961,0.344262,0.235698,0.620112,0.063291,0.125,0.189979,0.247166,0.295117,0.497585,0.131222,0.191489,0.075838,0.305556,0.195652,0.256039,0.455526,0.027027,0.313559,0.247357,0.232493,0.195652,0.263158,0.847826,0.600985,0.129442,0.418919,0.154856,0.383285,0.176471,0.630769,0.279279,0.04712,0.182266,0.151566
Cilastatin,0.103679,0.281407,0.138924,0.28866,0.176471,0.214751,0.181818,0.156863,0.241685,0.20603,0.166667,0.173913,0.226054,0.22093,0.170213,0.173709,1,0.14094,0.078838,0.214953,0.262136,0.201717,0.060683,0.119874,0.097804,0.315136,0.082569,0.428571,0,0.218962,0.084559,0.285714,0.111111,0.079914,0.333333,0.028571,0.088929,0.12426,0,0.111111,0.155779,0.237374,0.158088,0.088861,0.142857,0,0.119221,0.11824,0.321244,0.210526,0.080074,0,0.107438
Ciprofloxacin,0.02526,0.2,0.043285,0.207289,0.129707,0.134615,0.165254,0.210938,0.152344,0.219512,0.152344,0.158537,0.131757,0.2,0.16,0.207289,0.14094,1,0.021438,0.141304,0.067961,0.196755,0,0.064611,0.048825,0.126761,0.101243,0.173184,0.262376,0.887417,0.045531,0.173594,0.848185,0.402116,0.129363,0.164179,0.168831,0.754386,0.184211,0.848185,0.058315,0.212121,0.259542,0.17801,0.137566,0.142132,0.18932,0.102293,0.129707,0.180328,0.028668,0.225,0.093376
Clarithromycin,0.302578,0.077128,0.202783,0.078167,0.884817,0.036145,0.037975,0.047059,0.036145,0.040816,0.04878,0.121495,0.032967,0.044944,0.049383,0.038961,0.078838,0.021438,1,0.116505,0.156559,0.072319,0,0.053922,0.24269,0.160839,0.183511,0.136364,0,0.127517,0.318519,0.080692,0.024691,0.06383,0.169757,0,0.147959,0.147757,0.014085,0.024691,0.1875,0.079235,0.068966,0.099624,0.086957,0,0.091954,0.074965,0.077128,0.198547,0.337386,0.129272,0.208548
Clavulanate,0.106796,0.333333,0.138889,0.344262,0.112903,0.287671,0.365079,0.265823,0.217617,0.2,0.287671,0.304348,0.235955,0.241379,0.295775,0.344262,0.171171,0.173184,0.088328,1,0.094148,0.287671,0,0.043137,0.18863,0.25,0.193317,0.208531,0,0.209677,0.123596,0.323529,0.164021,0.220238,0.25731,0.071429,0.167048,0.218274,0.12628,0.164021,0.12462,0.355932,0.241379,0.072902,0.519608,0,0.401515,0.088632,0.333333,0.13852,0.126437,0,0.082251
Clindamycin,0.310861,0.155462,0.19197,0.158798,0.200586,0.160542,0.18896,0.151737,0.174168,0.247947,0.160542,0.167002,0.139028,0.141397,0.163708,0.179039,0.238095,0.067961,0.171429,0.094148,1,0.140684,0.06,0.09692,0.189516,0.272321,0.209213,0.264822,0,0.06422,0.262525,0.172249,0.069418,0.158798,0.311475,0.025641,0.130742,0.097122,0.059908,0.069418,0.340483,0.162281,0.290944,0.174194,0.091811,0,0.079914,0.0947,0.155462,0.147799,0.270492,0,0.150959
Cloxacillin,0.109445,0.586022,0.081967,0.690962,0.069652,0.39738,0.431981,0.372951,0.394336,0.360544,0.39738,0.415525,0.466395,0.370656,0.438356,0.620112,0.181435,0.196755,0.072319,0.287671,0.140684,1,0.055718,0.123596,0.186441,0.229839,0.324111,0.468683,0.178947,0.20155,0.091205,0.274038,0.168582,0.266376,0.357466,0.067961,0.220826,0.252408,0.201923,0.168582,0.153846,0.711712,0.501057,0.150121,0.407625,0.246883,0.377551,0.221805,0.607629,0.163142,0.042654,0.176471,0.187291
Colistin,0.069569,0.049751,0.080499,0.05,0,0.046512,0.05947,0.05746,0.058305,0.065197,0.058305,0.058882,0.056106,0.056371,0.058592,0.061678,0.076048,0,0,0,0.064792,0.043478,0.760766,0.287846,0,0.053934,0.024801,0.075269,0,0,0.012015,0.051821,0,0.040634,0.073961,0,0.024686,0,0,0,0.059671,0.058228,0.057373,0.062366,0,0,0,0,0.040947,0.048535,0.016791,0,0.067926
Daptomycin,0.092896,0.132812,0.139163,0.151079,0.021985,0.107011,0.125675,0.120059,0.122754,0.126952,0.109467,0.116139,0.159208,0.117438,0.140888,0.066667,0.126984,0.079672,0.033033,0.043137,0.097744,0.114413,0.320507,0.966667,0.013605,0.085672,0.091298,0.138211,0.04797,0.068592,0.02961,0.091909,0.075347,0.077844,0.140625,0.035857,0.121631,0.073205,0.034221,0.075347,0.111994,0.133122,0.153564,0.155811,0.035549,0.051005,0.041667,0.082164,0.131928,0.138268,0.062194,0.06626,0.293984
Dexamethasone,0.198686,0.223629,0.211372,0.228448,0.24269,0.120996,0.18,0.141869,0.166667,0.128571,0.149635,0.155303,0.130573,0.132686,0.152416,0.189979,0.097804,0.048825,0.228324,0.18863,0.159136,0.184211,0,0.013605,1,0.176471,0.26195,0.179577,0,0.070175,0.206581,0.165919,0.052632,0.106796,0.209016,0.043689,0.311155,0.130742,0.020833,0.052632,0.142241,0.174004,0.196581,0.175,0.138015,0,0.120507,0.131579,0.183673,0.25,0.272016,0,0.115506
Doripenem,0.147011,0.255605,0.148325,0.261468,0.151179,0.217565,0.236443,0.205273,0.217565,0.164902,0.217565,0.226611,0.187608,0.190893,0.221996,0.247166,0.255924,0.126761,0.146409,0.25,0.272321,0.229839,0.040547,0.115326,0.176471,1,0.153153,0.616915,0,0.141199,0.077441,0.552795,0.104762,0.057692,0.764706,0,0.240458,0.152416,0.08545,0.104762,0.194379,0.267606,0.201413,0.117861,0.239669,0.154791,0.205674,0.136974,0.255605,0.187801,0.147541,0,0.104928
Doxycycline,0.152695,0.336207,0.194379,0.317495,0.212534,0.137521,0.171004,0.151316,0.15917,0.246246,0.15917,0.164875,0.221498,0.174603,0.22449,0.295117,0.082569,0.101243,0.306902,0.193317,0.290984,0.324111,0.020503,0.083569,0.202186,0.165756,1,0.332083,0.109023,0.116838,0.200686,0.142857,0.118881,0.161905,0.257485,0.021739,0.853786,0.192982,0.139785,0.118881,0.163265,0.324503,0.243697,0.25,0.177829,0.095041,0.180124,0.123311,0.27572,0.687764,0.107544,0.135458,0.175994
Ertapenem,0.196319,0.465116,0.134361,0.479714,0.101591,0.292776,0.319588,0.279279,0.368209,0.286371,0.295238,0.306931,0.366906,0.260504,0.353535,0.497585,0.428571,0.173184,0.147959,0.208531,0.264822,0.437632,0.092354,0.115134,0.163194,0.616915,0.362764,1,0.109057,0.202186,0.069277,0.515957,0.14841,0.208577,0.715818,0.078652,0.33829,0.311787,0.179039,0.14841,0.215933,0.45933,0.412429,0.304348,0.176471,0.102041,0.200828,0.169284,0.441648,0.317073,0.129032,0.102662,0.139735
Fluconazole,0,0.220096,0,0.131222,0,0.111111,0.087866,0.076642,0.081081,0.196013,0.081081,0.084337,0.09029,0.060606,0.124744,0.131222,0,0.262376,0,0,0,0.178947,0,0.04797,0,0,0.109023,0.109057,1,0.186813,0,0,0.210046,0.162791,0,0.192053,0.086957,0.212766,0.099476,0.210046,0,0.134259,0.101399,0.090226,0,0.129032,0.19171,0.06087,0.0625,0.084906,0,0.239892,0.055118
Gatifloxacin,0.024182,0.108949,0.061269,0.191489,0.183099,0.143911,0.155378,0.219512,0.143911,0.232227,0.148148,0.153846,0.125402,0.177474,0.191406,0.191489,0.136842,0.887417,0.103811,0.209677,0.06422,0.20155,0,0.067821,0.070175,0.141199,0.116838,0.202186,0.210762,1,0.055195,0.161731,0.820988,0.365854,0.143984,0.122995,0.141869,0.847507,0.170732,0.820988,0.033797,0.195652,0.243243,0.214099,0.204188,0.078652,0.181818,0.153153,0.122047,0.136364,0.07563,0.253012,0.147541
Gentamicin,0.607516,0.099291,0.143498,0.101083,0.332335,0.068581,0.073254,0.127214,0.068581,0.093544,0.068581,0.07084,0.06082,0.061693,0.069692,0.075838,0.084559,0.045531,0.318519,0.096491,0.22093,0.091205,0.012015,0.041525,0.217712,0.144902,0.219512,0.141479,0,0.076159,1,0.122244,0.109185,0.117216,0.162362,0,0.187291,0.089744,0,0.109185,0.151515,0.102941,0.185897,0.048128,0.177829,0,0.156187,0.091954,0.099291,0.162791,0.782946,0,0.146245
Imipenem,0.206897,0.311475,0.129653,0.320225,0.088534,0.292683,0.289474,0.244444,0.261905,0.210526,0.261905,0.275,0.22,0.25,0.268293,0.305556,0.285714,0.173594,0.080692,0.323529,0.17506,0.274038,0.061077,0.067588,0.165919,0.552795,0.142857,0.515957,0,0.115974,0.122244,1,0.165501,0.192893,0.655405,0.118644,0.168033,0.158798,0.104816,0.165501,0.174863,0.32948,0.234568,0.115538,0.345455,0,0.283582,0.084777,0.311475,0.178571,0.124744,0,0.076417
Levofloxacin,0.105919,0.111111,0.042345,0.195652,0.07513,0.146617,0.158537,0.24031,0.146617,0.260229,0.146617,0.152344,0.127451,0.114754,0.185771,0.195652,0.191011,0.848185,0.024691,0.21547,0.316397,0.168582,0,0.068314,0.052632,0.086142,0.118881,0.14841,0.215596,0.820988,0.09215,0.165501,1,0.375,0.087786,0.120219,0.181818,0.741573,0.19898,1,0.053719,0.2,0.271028,0.233244,0.153846,0.149144,0.180556,0.10052,0.124498,0.116139,0.044776,0.220096,0.091909
Linezolid,0.075949,0.270983,0.048478,0.27451,0.142857,0.090226,0.156317,0.161905,0.143984,0.256367,0.143984,0.149897,0.130137,0.179673,0.153846,0.256039,0.079914,0.402116,0.06383,0.111111,0.141649,0.266376,0.053688,0.085973,0.087786,0.057692,0.161905,0.22288,0.162791,0.365854,0.085409,0.192893,0.375,1,0.132075,0.194969,0.218075,0.266094,0.195652,0.375,0.140143,0.281407,0.315789,0.163399,0.111111,0.182796,0.121495,0.098317,0.188341,0.171617,0.075269,0.140143,0.109299
Meropenem,0.238938,0.462766,0.147343,0.47541,0.181556,0.342282,0.432225,0.366594,0.392111,0.219904,0.392111,0.411192,0.330724,0.337325,0.398104,0.455526,0.192661,0.129363,0.19883,0.25731,0.311475,0.357466,0.078332,0.132661,0.189516,0.764706,0.218569,0.715818,0,0.143984,0.078767,0.655405,0.106796,0.113402,1,0,0.267327,0.155303,0.08747,0.106796,0.256281,0.456044,0.268939,0.206897,0.246459,0,0.210654,0.158088,0.375,0.231029,0.148148,0,0.113801
Metronidazole,0.036468,0.026316,0.012821,0.027027,0,0.167109,0.098901,0.082949,0.089109,0.069519,0.089109,0.09375,0.07438,0.101512,0.02381,0.027027,0.028571,0.164179,0,0.071429,0.025641,0.067961,0,0.028481,0.043689,0,0.021739,0.078652,0.192053,0.122995,0,0.118644,0.120219,0.194969,0,1,0.078652,0.113861,0.153846,0.120219,0,0.027778,0.02,0.013514,0,0.136364,0.164384,0,0.026316,0.065421,0.043084,0.16041,0.024349
Minocycline,0.132075,0.317992,0.199069,0.294363,0.16129,0.154499,0.226054,0.199324,0.209964,0.229868,0.209964,0.217712,0.183801,0.205788,0.240741,0.283644,0.088929,0.175373,0.147959,0.167048,0.130742,0.273408,0.020408,0.112717,0.293436,0.240458,0.678487,0.330869,0.086957,0.141869,0.169687,0.168033,0.181818,0.218075,0.191806,0.078652,1,0.175468,0.181619,0.181818,0.178862,0.30064,0.207729,0.245283,0.11349,0.095335,0.121857,0.141397,0.211538,0.796009,0.071975,0.124031,0.131783
