Bacteria1,Bacteria2,Distance
Enterobacter agglomerans,Enterobacter agglomerans,0
Enterobacter agglomerans,Enterobacter gergoviae,0.2129
Enterobacter agglomerans,Mycobacterium fortuitum,0.2404
Enterobacter agglomerans,M. abscessus,0.2384
Enterobacter agglomerans,Staphylococcus intermedius,0.2441
Enterobacter agglomerans,Streptococcus constellatus,0.2453
Enterobacter agglomerans,Streptococcus anginosus,0.2448
Enterobacter agglomerans,Streptobacillus moniliformis,0.2858
Enterobacter agglomerans,Spirillum minus,0.2858
Enterobacter agglomerans,Capnocytophaga canimorsus,0.2468
Enterobacter agglomerans,Pasteurella multocida,0.1557
Enterobacter agglomerans,Ureaplasma urealyticum,0.2983
Enterobacter agglomerans,Cutibacterium acnes,0.2517
Enterobacter agglomerans,Listeria monocytogenes,0.2441
Enterobacter agglomerans,Enterococcus faecium,0.2479
Enterobacter agglomerans,Stenotrophomonas maltophilia,0.1925
Enterobacter agglomerans,Enterobacter aerogenes,0.2128
Enterobacter agglomerans,E. cloacae,0.2141
Enterobacter agglomerans,Acinetobacter baumannii,0.1591
Enterobacter agglomerans,Streptococcus hemolyticus,0.2408
Enterobacter agglomerans,Proteus mirabilis,0.176
Enterobacter agglomerans,Burkholderia pseudomallei,0.1882
Enterobacter agglomerans,C. difficile,0.2736
Enterobacter agglomerans,Staphylococcus epidermidis,0.2531
Enterobacter agglomerans,Pseudomonas aeruginosa,0.2082
Enterobacter agglomerans,Streptococcus agalactiae,0.2436
Enterobacter agglomerans,Morganella morganii,0.214
Enterobacter agglomerans,Kingella kingae,0.1899
Enterobacter agglomerans,Eikenella corrodens,0.187
Enterobacter agglomerans,Cardiobacterium hominis,0.1678
Enterobacter agglomerans,Aggregatibacter actinomycetemcomitans,0.1828
Enterobacter agglomerans,Haemophilus parainfluenzae,0.1725
Enterobacter agglomerans,Enterococcus faecalis,0.2635
Enterobacter agglomerans,G Streptococcus,0.2402
Enterobacter agglomerans,Salmonella enterica,0.2091
Enterobacter agglomerans,Shigella dysenteriae,0.2089
Enterobacter agglomerans,Staphylococcus lugdunensis,0.2398
Enterobacter agglomerans,Staphylococcus saprophyticus,0.2397
Enterobacter agglomerans,Chlamydophila pneumoniae,0.2638
Enterobacter agglomerans,Mycoplasma pneumoniae,0.2741
Enterobacter agglomerans,Gardnerella vaginalis,0.2578
Enterobacter agglomerans,Campylobacter spp,0.2704
Enterobacter agglomerans,Legionella pneumophila,0.1578
Enterobacter agglomerans,Clostridium septicum,0.2662
Enterobacter agglomerans,Clostridium perfringens,0.2656
Enterobacter agglomerans,C. trachomatis,0.262
Enterobacter agglomerans,Prevotella bivia,0.2619
Enterobacter agglomerans,Streptococcus pyogenes,0.2408
Enterobacter agglomerans,Neisseria meningitidis,0.1843
Enterobacter agglomerans,S. ParatyphiA,0.2092
Enterobacter agglomerans,S.Typhi,0.2092
Enterobacter agglomerans,Klebsiella pneumoniae,0.2102
Enterobacter agglomerans,E. coli,0.2097
Enterobacter agglomerans,Neisseria gonorrhoeae,0.1843
Enterobacter agglomerans,Staphylococcus aureus,0.2392
Enterobacter agglomerans,Brucella melitensis,0.2121
Enterobacter agglomerans,Brucella abortus,0.2121
Enterobacter agglomerans,Moraxella catarrhalis,0.1629
Enterobacter agglomerans,Haemophilus influenzae,0.1522
Enterobacter agglomerans,Streptococcus pneumoniae,0.2443
Enterobacter agglomerans,V. cholerae,0.1779
Enterobacter gergoviae,Enterobacter gergoviae,0
Enterobacter gergoviae,Enterobacter agglomerans,0.2129
Enterobacter gergoviae,Mycobacterium fortuitum,0.2395
Enterobacter gergoviae,M. abscessus,0.2326
Enterobacter gergoviae,Staphylococcus intermedius,0.2401
Enterobacter gergoviae,Streptococcus constellatus,0.2424
Enterobacter gergoviae,Streptococcus anginosus,0.2426
Enterobacter gergoviae,Streptobacillus moniliformis,0.2776
Enterobacter gergoviae,Spirillum minus,0.2776
Enterobacter gergoviae,Capnocytophaga canimorsus,0.2496
Enterobacter gergoviae,Pasteurella multocida,0.1613
Enterobacter gergoviae,Ureaplasma urealyticum,0.2962
Enterobacter gergoviae,Cutibacterium acnes,0.2471
Enterobacter gergoviae,Listeria monocytogenes,0.2465
Enterobacter gergoviae,Enterococcus faecium,0.2543
Enterobacter gergoviae,Stenotrophomonas maltophilia,0.2298
Enterobacter gergoviae,Enterobacter aerogenes,0.1922
Enterobacter gergoviae,E. cloacae,0.2001
Enterobacter gergoviae,Acinetobacter baumannii,0.1516
Enterobacter gergoviae,Streptococcus hemolyticus,0.2385
Enterobacter gergoviae,Proteus mirabilis,0.1825
Enterobacter gergoviae,Burkholderia pseudomallei,0.2263
Enterobacter gergoviae,C. difficile,0.2626
Enterobacter gergoviae,Staphylococcus epidermidis,0.241
Enterobacter gergoviae,Pseudomonas aeruginosa,0.2321
Enterobacter gergoviae,Streptococcus agalactiae,0.2405
Enterobacter gergoviae,Morganella morganii,0.2144
Enterobacter gergoviae,Kingella kingae,0.1873
Enterobacter gergoviae,Eikenella corrodens,0.2193
Enterobacter gergoviae,Cardiobacterium hominis,0.2012
Enterobacter gergoviae,Aggregatibacter actinomycetemcomitans,0.1723
Enterobacter gergoviae,Haemophilus parainfluenzae,0.1518
Enterobacter gergoviae,Enterococcus faecalis,0.2503
Enterobacter gergoviae,G Streptococcus,0.2383
Enterobacter gergoviae,Salmonella enterica,0.195
Enterobacter gergoviae,Shigella dysenteriae,0.1968
Enterobacter gergoviae,Staphylococcus lugdunensis,0.2371
Enterobacter gergoviae,Staphylococcus saprophyticus,0.2412
Enterobacter gergoviae,Chlamydophila pneumoniae,0.2603
