Bacteria2,Acinetobacter baumannii,Aggregatibacter actinomycetemcomitans,Brucella abortus,Brucella melitensis,Burkholderia pseudomallei,C. difficile,C. trachomatis,Campylobacter spp,Capnocytophaga canimorsus,Cardiobacterium hominis,Chlamydophila pneumoniae,Clostridium perfringens,Clostridium septicum,Cutibacterium acnes,E. cloacae,E. coli,Eikenella corrodens,Enterobacter aerogenes,Enterobacter agglomerans,Enterobacter gergoviae,Enterococcus faecalis,Enterococcus faecium,G Streptococcus,Gardnerella vaginalis,Haemophilus influenzae,Haemophilus parainfluenzae,Kingella kingae,Klebsiella pneumoniae,Legionella pneumophila,Listeria monocytogenes,M. abscessus,Moraxella catarrhalis,Morganella morganii,Mycobacterium fortuitum,Mycoplasma pneumoniae,Neisseria gonorrhoeae,Neisseria meningitidis,Pasteurella multocida,Prevotella bivia,Proteus mirabilis,Pseudomonas aeruginosa,S. ParatyphiA,S.Typhi,Salmonella enterica,Shigella dysenteriae,Spirillum minus,Staphylococcus aureus,Staphylococcus epidermidis,Staphylococcus intermedius,Staphylococcus lugdunensis,Staphylococcus saprophyticus,Stenotrophomonas maltophilia,Streptobacillus moniliformis,Streptococcus agalactiae,Streptococcus anginosus,Streptococcus constellatus,Streptococcus hemolyticus,Streptococcus pneumoniae,Streptococcus pyogenes,Ureaplasma urealyticum,V. cholerae
Acinetobacter baumannii,0,0.1816,0.1997,0.1977,0.1759,0.2563,0.2722,0.253,0.2444,0.1551,0.2916,0.2577,0.2536,0.2497,0.1659,0.1598,0.1813,0.1548,0.1591,0.1516,0.2499,0.2516,0.2291,0.2527,0.203,0.2197,0.1865,0.1556,0.1618,0.2383,0.2329,0.1653,0.161,0.242,0.2615,0.1843,0.1788,0.1948,0.2798,0.1633,0.1308,0.1529,0.1529,0.1529,0.1598,0.2647,0.2371,0.2367,0.2388,0.2412,0.2404,0.1583,0.2647,0.2333,0.2364,0.2345,0.2308,0.2344,0.2308,0.2853,0.1593
Aggregatibacter actinomycetemcomitans,0.1816,0,0.2179,0.2182,0.195,0.2512,0.2619,0.2336,0.2703,0.1845,0.2907,0.2564,0.2604,0.2553,0.178,0.1797,0.1717,0.1794,0.1828,0.1723,0.2626,0.2633,0.2501,0.2631,0.1813,0.1926,0.1795,0.1824,0.1781,0.2475,0.2448,0.1608,0.1697,0.2433,0.2948,0.2009,0.1809,0.1926,0.2787,0.1873,0.1719,0.1867,0.1867,0.1867,0.1833,0.2814,0.2602,0.263,0.2588,0.2622,0.2595,0.1823,0.2814,0.2509,0.2579,0.2608,0.251,0.2565,0.251,0.2772,0.1658
Brucella abortus,0.1997,0.2179,0,0.0029,0.2225,0.2049,0.2557,0.2172,0.2388,0.1879,0.276,0.2053,0.2044,0.2218,0.2121,0.2116,0.2138,0.2089,0.2121,0.2167,0.2125,0.2245,0.2247,0.2471,0.2189,0.2205,0.1982,0.2192,0.2085,0.2164,0.214,0.1932,0.2171,0.2221,0.2658,0.2098,0.2089,0.2176,0.2618,0.2122,0.2308,0.2116,0.2116,0.2116,0.2136,0.2374,0.2138,0.2194,0.214,0.2165,0.2131,0.233,0.2374,0.2277,0.2304,0.2131,0.2241,0.2288,0.2241,0.2626,0.2117
Brucella melitensis,0.1977,0.2182,0.0029,0,0.2231,0.2053,0.2522,0.2171,0.2388,0.1883,0.2761,0.2053,0.2047,0.2218,0.212,0.2117,0.2139,0.2078,0.2121,0.2167,0.2125,0.2245,0.225,0.2427,0.2146,0.2204,0.1983,0.2193,0.2085,0.2113,0.214,0.1931,0.2171,0.2221,0.2732,0.2097,0.2089,0.2127,0.2619,0.2122,0.2178,0.2116,0.2116,0.2116,0.2137,0.2376,0.2137,0.2196,0.2093,0.2168,0.213,0.2195,0.2376,0.228,0.23,0.2127,0.2243,0.2292,0.2243,0.2625,0.2118
Burkholderia pseudomallei,0.1759,0.195,0.2225,0.2231,0,0.2662,0.2954,0.2531,0.2323,0.21,0.2898,0.261,0.2694,0.249,0.1906,0.2076,0.1693,0.1963,0.1882,0.2263,0.2585,0.2313,0.248,0.2562,0.1904,0.1924,0.1634,0.1978,0.1796,0.2433,0.2446,0.1974,0.1879,0.2658,0.2623,0.1658,0.1636,0.2024,0.2381,0.1828,0.2497,0.2018,0.2018,0.2018,0.1953,0.2495,0.2595,0.2587,0.255,0.2545,0.2486,0.2436,0.2495,0.2491,0.2453,0.2508,0.2536,0.2576,0.2536,0.286,0.1849
C. difficile,0.2563,0.2512,0.2049,0.2053,0.2662,0,0.2842,0.2568,0.2299,0.2514,0.2827,0.1932,0.2018,0.2241,0.2652,0.2652,0.2469,0.2655,0.2736,0.2626,0.1935,0.1918,0.2087,0.2317,0.2531,0.2487,0.2516,0.2656,0.2445,0.1923,0.2016,0.2536,0.2639,0.2111,0.2757,0.2507,0.2484,0.2656,0.2462,0.2562,0.2523,0.2603,0.2603,0.2603,0.27,0.2546,0.193,0.1944,0.1976,0.1936,0.1895,0.2599,0.2546,0.2061,0.2099,0.2091,0.2058,0.2078,0.2058,0.2673,0.2464
C. trachomatis,0.2722,0.2619,0.2557,0.2522,0.2954,0.2842,0,0.2829,0.2518,0.2839,0.2457,1,0.228,0.2581,0.258,0.2848,0.2923,0.251,0.262,0.2605,0.2616,0.265,0.263,0.2617,0.2746,0.2811,0.2923,0.2788,0.2425,0.2697,0.2388,0.2733,0.282,0.2529,0.285,0.2515,0.2666,0.2801,0.2724,0.2511,0.2694,0.2597,0.2597,0.2597,0.2844,0.2553,0.2798,0.2809,0.2774,0.2799,0.273,0.2774,0.2553,0.2647,0.264,0.2704,0.2691,0.2695,0.2691,1,0.2756
Campylobacter spp,0.253,0.2336,0.2172,0.2171,0.2531,0.2568,0.2829,0,0.2439,0.2438,0.2919,0.2572,0.2578,0.2518,0.2631,0.2612,0.2568,0.259,0.2704,0.26,0.255,0.26,0.2597,0.2627,0.2439,0.2645,0.2594,0.2596,0.2585,0.2523,0.2395,0.2374,0.2342,0.2444,0.2745,0.2647,0.2601,0.2623,0.2139,0.2543,0.2467,0.2535,0.2535,0.2535,0.2616,0.2762,0.2528,0.2558,0.2517,0.2216,0.2372,0.2619,0.2762,0.2576,0.2614,0.2595,0.2616,0.2619,0.2616,0.2632,0.2622
Capnocytophaga canimorsus,0.2444,0.2703,0.2388,0.2388,0.2323,0.2299,0.2518,0.2439,0,0.2747,0.2915,0.2115,0.2658,0.2531,0.2573,0.2484,0.28,0.2604,0.2468,0.2496,0.2343,0.2205,0.2216,0.2605,0.2669,0.2705,0.2755,0.2612,0.2454,0.2395,0.2453,0.2464,0.2594,0.2479,0.2773,0.2186,0.2753,0.2572,0.2349,0.2434,0.2456,0.2469,0.2469,0.2469,0.2495,0.2304,0.1953,0.1951,0.1864,0.2258,0.263,0.2399,0.2304,0.2206,0.2557,0.2181,0.2192,0.2316,0.2192,0.261,0.2409
Cardiobacterium hominis,0.1551,0.1845,0.1879,0.1883,0.21,0.2514,0.2839,0.2438,0.2747,0,0.2834,0.2526,0.2524,0.2378,0.1796,0.175,0.1861,0.1857,0.1678,0.2012,0.2377,0.2387,0.2432,0.2519,0.1653,0.1431,0.1618,0.183,0.1703,0.2383,0.2261,0.1718,0.1845,0.2405,0.2941,0.1928,0.1675,0.1826,0.2987,0.1675,0.205,0.1653,0.1653,0.1653,0.1752,0.2534,0.2288,0.2414,0.2389,0.2336,0.2407,0.1985,0.2534,0.2426,0.247,0.2443,0.2424,0.2475,0.2424,0.2853,0.1754
