Drug1,Drug2,Simcomp_Score,,,
C00397,C00397,1,,,
C00397,C01918,0.782946,,,
C00397,C06820,0.759259,,,
C00397,C06838,0.337386,,,
C00397,C06912,0.337386,,,
C00397,C15643,0.272016,,,
C00397,C06914,0.270492,,,
C00397,C06573,0.268844,,,
C00397,C06689,0.190083,,,
C00397,C08092,0.154639,,,
C00397,D02222,0.148148,,,
C00397,D03895,0.147541,,,
C00397,D07908,0.129032,,,
C00397,C06662,0.126437,,,
C00397,C06665,0.124744,,,
C00397,C06973,0.107544,,,
C00397,C01675,0.080074,,,
C00397,C15820,0.076672,,,
C00397,C07661,0.07563,,,
C00397,C08146,0.075269,,,
C00397,C07663,0.073718,,,
C00397,C07225,0.071975,,,
C00397,C12013,0.062194,,,
C00397,C12012,0.061828,,,
C00397,C07770,0.05042,,,
C00397,C05551,0.047957,,,
C00397,C06574,0.04712,,,
C00397,C06895,0.04712,,,
C00397,C06827,0.046312,,,
C00397,C07139,0.046312,,,
C00397,C08110,0.045531,,,
C00397,C07321,0.044776,,,
C00397,C07660,0.044776,,,
C00397,C07771,0.044776,,,
C00397,C08114,0.044046,,,
C00397,C06894,0.043339,,,
C00397,C07203,0.043084,,,
C00397,C06880,0.042654,,,
C00397,C06881,0.042654,,,
C00397,C06885,0.042654,,,
C00397,C06923,0.042654,,,
C00397,C08111,0.040724,,,
C00397,C06683,0.038407,,,
C00397,C14034,0.038407,,,
C00397,C06889,0.037868,,,
C00397,C06883,0.034048,,,
C00397,C05349,0.028668,,,
C00397,C13768,0.016791,,,
C01675,C01675,1,,,
C01675,D07908,0.428571,,,
C01675,C07139,0.321244,,,
C01675,C06665,0.285714,,,
C01675,C06574,0.262626,,,
C01675,C06827,0.256158,,,
C01675,D03895,0.255924,,,
C01675,C06881,0.241685,,,
C01675,C06914,0.238095,,,
C01675,C06889,0.226054,,,
C01675,C06683,0.22093,,,
C01675,C06880,0.214751,,,
C01675,C05551,0.212871,,,
C01675,C06883,0.20603,,,
C01675,C12012,0.197917,,,
C01675,D02222,0.192661,,,
C01675,C07321,0.191011,,,
C01675,C07660,0.191011,,,
C01675,C06894,0.190476,,,
C01675,C08110,0.181818,,,
C01675,C06923,0.181435,,,
C01675,C08114,0.173913,,,
C01675,C06895,0.173709,,,
C01675,C06662,0.171171,,,
C01675,C06885,0.166667,,,
C01675,C06573,0.159236,,,
C01675,C14034,0.158088,,,
C01675,C08111,0.156863,,,
C01675,C08092,0.155779,,,
C01675,C07770,0.142857,,,
C01675,C05349,0.14094,,,
C01675,C07661,0.136842,,,
C01675,C12013,0.126984,,,
C01675,C07663,0.12426,,,
C01675,C07771,0.119221,,,
C01675,C06689,0.111111,,,
C01675,C06820,0.107383,,,
C01675,C15643,0.097804,,,
C01675,C07225,0.088929,,,
C01675,C06688,0.088861,,,
C01675,C15820,0.086376,,,
